Question,Subject,Answer,A,B,C,D
‘পূর্বাশা’ দ্বীপের অপর নাম–,BANGLADESH-AFFAIRS,C,নিঝুম দ্বীপ,সেন্টমার্টিন দ্বীপ,দক্ষিণ তালপট্টি দ্বীপ,দিয়া দ্বীপ
সার্ক-এর প্রথম শীর্ষ বৈঠক অনুষ্ঠিত হয়–,INTERNATIONAL-AFFAIRS,C,১৯৮৪ সালে,১৯৮৭ সোলে,১৯৮৫ সালে,১৯৮৬ সালে
আরব রাষ্ট্রগুলোর মধ্যে কোনটি বাংলাদেশকে প্রথম স্বীকৃতি দেয়?,INTERNATIONAL-AFFAIRS,A,ইরাক,আলজেরিয়া,সৌদি আরব,জর্ডান
পিএলও-এর সদর দপ্তর–,INTERNATIONAL-AFFAIRS,,তিউনিস,রাবাত,বেনগাজি,মরক্কো
জাতিসংঘের প্রথম মহাসচিব ছিলেন–,INTERNATIONAL-AFFAIRS,B,উ থান্ট,ট্রিগভেলি,দ্যাগ হ্যামারশোল্ড,কুট ওয়াল্ডহেইম
নিরাপত্তা পরিষদের এশীয় আসনে বাংলাদেশের প্রতিদ্বন্দ্বী ছিল–,INTERNATIONAL-AFFAIRS,B,ফিলিপাইন,জাপান,ইন্দোনেশিয়া,থাইল্যান্ড
সাধারণ পরিষদের নিয়মিত অধিবেশন শুরু হয়–,INTERNATIONAL-AFFAIRS,A,সেপ্টেম্বর মাসের তৃতীয় মঙ্গলবার,সেপ্টেম্বর মাসের প্রথম সোমবার,সেপ্টেম্বর মাসের দ্বিতীয় বুধবার,সেপ্টেম্বর মাসের চতুর্থ মঙ্গলবার
বর্তমান জাতিসংঘের সদস্য সংখ্যা–,INTERNATIONAL-AFFAIRS,,১৫৬,১৫৭,১৫৮,১৮৮
ইসলাম সম্মেলন সংস্থার সচিবলায় অবস্থিত–,INTERNATIONAL-AFFAIRS,B,রিয়াদ,জেদ্দা,দামেস্ক,মক্কা
যে দেশ এসডিআই প্রতিরক্ষা কর্মসূচি গ্রহণ করেছে–,INTERNATIONAL-AFFAIRS,C,ব্রিটেন,ফ্রান্স,যুক্তরাষ্ট্র,রাশিয়া
ব্রিটিনের প্রশাসনিক সদর দপ্তরকে বলা হয়–,INTERNATIONAL-AFFAIRS,B,ওয়েস্ট মিনিস্টার অ্যাবে,হোয়াইট হল,মার্বেল চার্চ,বুশ হাউজ
দ্বিতীয় মহাযুদ্ধে জার্মানি আত্মসমর্পণ করে–,INTERNATIONAL-AFFAIRS,C,১৯৪২ সালের নভেম্বর মাসে,১৯৪৩ সালের ফেব্রুয়ারি মাসে,১৯৪৫ সালের মে মাসে,১৯৪৫ সালের সেপ্টেম্বর মাসে
কঙ্গোকে বিদেশি শাসন থেকে মুক্ত করার লড়াইয়ে চিরস্থায়ী নাম–,INTERNATIONAL-AFFAIRS,B,কাশাভুবু,প্যাট্রিক লুমুম্বা,শোম্বে,মবুতু
হিরোশিমায় এটম বোম ফেলা হয়েছিল–,INTERNATIONAL-AFFAIRS,A,১৯৪৫ সালেরর আগস্ট মাসে,১৯৪৫ সালের মে মাসে,১৯৪৫ সালের সেপ্টেম্বর মাসে,১৯৪৪ সালের আগস্ট মাসে
আইএমএফ-এর সদর দপ্তর কোথায়?,INTERNATIONAL-AFFAIRS,A,ওয়াশিংটন,মস্কো,লন্ডন,নিউইয়র্ক
নিকারাগুয়ায় যে বিদ্রোহীদের যুক্তরাষ্ট্র সমর্থন করে তার নাম–,INTERNATIONAL-AFFAIRS,C,ইউনিটা,সান্ডিনিস্টা,কন্ট্রা,সোয়াপো
‘ব্যাবিলনের ঝুলন্ত উদ্যান’ কোন দেশে অবস্থিত?,INTERNATIONAL-AFFAIRS,B,ইরান,ইরাক,মিশর,সিরিয়া
ইতিহাস বিখ্যাত ট্রয় নগরী কোথায়?,INTERNATIONAL-AFFAIRS,C,ইতালি,স্পেন,তুরস্ক,গ্রিস
নিচের কোন সংখ্যাটি মৌলিক?,MATHEMATICAL-REASONING,C,৯১,১৪৩,৪৭,৮৭
কোনো একটি জিনিস নির্মাতা ২০% লাভে ও খুচরা বিক্রেতা ২০% লাভে বিক্রয় করে। যদি ঐ জিনিসের নির্মাণ খরচ ১০০ টাকা হয় তবে খুচরা মূল্য কত?,MATHEMATICAL-REASONING,C,১৪০ টাকা,১২০ টাকা,১৪৪ টাকা,১২৪ টাকা
সমবাহু ত্রিভূজের বাহুর দৈর্ঘ্য যদি ‘a’ হয় তবে ক্ষেত্রফল হবে-,MATHEMATICAL-REASONING,A,\[\mathrm{{\sqrt{৩} \over ৪} a^2}\],\[\mathrm{\sqrt{{{৩} \over ২} a^2}}\],\[\mathrm{{{৩} \over২} a^2}\],\[\mathrm{\sqrt{{{১} \over ২}a^2}}\]
১ থেকে ৪৯ পর্যন্ত সংখ্যার গড় কত?,MATHEMATICAL-REASONING,C,২৩,২৪.৫,২৫,২৬.৫
টাকায় তিনটি করে আম ক্রয় করে টাকায় ২টি করে বিক্রয় করলে শতকরা কত লাভ হবে?,MATHEMATICAL-REASONING,A,৫০%,৩৩%,৩০%,৩১%
"ত্রিভুজ ABC এর BE = FE = CF। AEC এর ক্ষেত্রফল ৪৮ বর্গফুট হলে, ত্রিভুজ ABC এর ক্ষেত্রফল কত বর্গফুট?",MATHEMATICAL-REASONING,A,৭২,৬০,৪৮,৬৪
\(\mathrm{a+b=5}\) এবং \(\mathrm{a-b=3}\) হলে ab এর মান কত?,MATHEMATICAL-REASONING,C,2,3,4,5
৬০ লিটার কেরোসিনের ও পেট্রোলের মিশ্রণের অনুপাত ৭ : ৩। ঐ মিশ্রণে কত লিটার পেট্রোল মিশালে অনুপাত ৩ : ৭ হবে ?,MATHEMATICAL-REASONING,B,৭০,৮০,৯০,৯৮
১ হতে ৩০ পর্যন্ত কয়টি মৌলিক সংখ্যা আছে?,MATHEMATICAL-REASONING,C,১১টি,৮টি,১০টি,৯টি
দুটি সংখ্যার গুণফল ১৫৩৬। সংখ্যা দুটোর ল.সা.গু ৯৬ হলে গ.সা.গু. কত?,MATHEMATICAL-REASONING,A,১৬,২৪,৩২,১২
\({.1 \times .01 \times .001 \over.2 \times .02 \times .002}\) এর মান কত?,MATHEMATICAL-REASONING,D,\({1 \over 80}\),\({1 \over 800}\),\({1 \over 8000}\),\({1 \over 8}\)
সরল সুদের হার শতকরা কত টাকা হলে যে কোনো মূলধন ৮ বছরে সুদে – আসলে তিনগুণ হবে?,MATHEMATICAL-REASONING,C,১২.৫০ টাকা,২০ টাকা,২৫ টাকা,১৫ টাকা
চিনির মূল্য ২৫% বৃদ্ধি পাওয়াতে একটি পরিবার চিনি খাওয়া এমনিভাবে কমালো যে চিনি বাবদ ব্যয় বৃদ্ধি পেল না। ঐ পরিবার চিনি খাওয়ার খরচ শতকার কত কমিয়েছিল?,MATHEMATICAL-REASONING,C,২২%,২৫%,২০%,৩০%
যদি \({\mathrm{(x-5) (a+x) = x^2-25}}\) তবে \({\mathrm{a}}\) এর মান কত?,MATHEMATICAL-REASONING,B,\({-5}\),\({5}\),\({25}\),\({-25}\)
\({\mathrm{a + b + c = 0}}\) হলে \({\mathrm{a^3+ b^3+ c^3}}\) এর মান কত?,MATHEMATICAL-REASONING,B,\({\mathrm{abc}}\),\({\mathrm{3abc}}\),\({\mathrm{6abc}}\),\({\mathrm{9abc}}\)
ত্রিভুজের একটি কোণ এর অপর দুটি কোণের সমষ্টির সমান হলে ত্রিভুজটি–,MATHEMATICAL-REASONING,A,সমকোণী,স্হুলকোণী,সমবাহু,সূক্ষ্মকোণী
নবায়নযোগ্য শক্তি উৎসের একটি উদাহরণ হলো–,GENERAL-SCIENCE,D,পারমাণবিক জ্বালানি,পীট কয়লা,ফুয়েল সেল,সূর্য
পেসার কুকারে রান্না তাড়াতাড়ি হয় কারণ–,GENERAL-SCIENCE,C,রান্নার জন্য তাপ নয় চাপও কাজে লাগে,বদ্ধ পাত্রে তাপ সংরক্ষিত হয়,উচ্চচাপে তরলের স্ফুটনাংক বৃদ্ধি পায়,সঞ্চিত বাষ্পের তাপ রান্নায় সহায়ক
যে তিনটি মুখ্য বর্ণের সমন্বয়ে অন্যান্য বর্ণ সৃষ্টি করা যায় সেগুলো হলো–,GENERAL-SCIENCE,D,"লাল, হলুদ, নীল","লাল, কমলা, বেগুনী","হলুদ, সবুজ, নীল","লাল, নীল, সবুজ"
ভৌগলিকভাবে গুরুত্বপূর্ণ যে কাল্পনিক রেখাটি বাংলাদেশের উপর দিয়ে গিয়েছে তা হলো–,GENERAL-SCIENCE,B,মূল মধ্যরেখা,কর্কটক্রান্তি রেখা,মকরক্রান্তি রেখা,আন্তর্জাতিক তারিখ রেখা
মাছ অক্সিজেন নেয়–,GENERAL-SCIENCE,D,মাঝে মাঝে পানির উপর নাক তুলে,পানিতে অক্সিজেন ও হাইড্রোজেন বিশ্লিষ্ট করে,পটকার মধ্যে জমানো বাতাস হতে,পানির মধ্যে দ্রবীভূত বাতাস হতে
কচুশাক বিশেষভাবে মূল্যবান যে উপাদানের জন্য তা হলো–,GENERAL-SCIENCE,C,ভিটামিন-‘এ’,ভিটামিন-‘সি’,লৌহ,ক্যালসিয়াম
সাধারণ ড্রাইসেলে ইলেকট্রোড হিসাবে থাকে–,GENERAL-SCIENCE,C,তামার দণ্ড ও দস্তারর দণ্ড,তামার পাত ও দস্তার পাত,কার্বন দণ্ড ও দস্তার কৌটা,তামার দণ্ড ও দস্তার কৌটা
দূরের বিদ্যুৎ উৎপাদন কেন্দ্র হতে বিদ্যুৎ নিয়ে আসতে হলে হাইভোল্টেজ ব্যবহার করার কারণ–,GENERAL-SCIENCE,A,এতে বিদ্যুতের অপচয় কম হয়,এতে কমে গিয়েও প্রয়োজনীয় ভোল্টেজ বজায় থাকে,অধিক বিদ্যুৎ প্রবাহ পাওয়া যায়,প্রয়োজনমতো ভোল্টজ কমিয়ে ব্যবহার করা যায়
সংকর ধাতু পিতলের উপাদান হলো–,GENERAL-SCIENCE,B,তামা ও টিন,তামা ও দস্তা,তামা ও নিকেল,তামা ও সীসা
আমাদের দেহকোষ রক্ত হতে গ্রহণ করে–,GENERAL-SCIENCE,A,অক্সিজেন ও গ্লুকোজ,অক্সিজেন ও রক্তের আমিষ,ইউরিয়া ও গ্লুকোজ,এমাইনো এসিড ও কার্বন ডাইঅক্সাইড
পৃথিবীর ঘূর্ণনের ফলে আমরা ছিটকিয়ে পড়ি না–,GENERAL-SCIENCE,B,মহাকর্ষ বলের জন্য,মাধ্যাকর্ষণ বলের জন্য,আমরা স্থির থাকার জন্য,পৃথিবীর সঙ্গে আমাদের আবর্তনের জন্য
নিচের কোনটি জীবাশ্ম জ্বালানি নয়?,GENERAL-SCIENCE,D,পেট্রোলিয়াম,কয়লা,প্রাকৃতিক গ্যাস,বায়োগ্যাস
"বৈদ্যুতিক মটর এমন একটি যন্ত্রকৌশল, যা–",GENERAL-SCIENCE,D,তাপ শক্তিকে যান্ত্রিক শক্তিকে রূপান্তরিত করে,তাপ শক্তিকে তড়িৎ শক্তিতে রূপান্তরিত করে,যান্ত্রিক শক্তিকে তড়িৎ শক্তিতে রূপান্তরিত করে,তড়িৎ শক্তিকে যান্ত্রিক শক্তিতে রূপান্তরিত করে
"যে বায়ু সর্বদাই উচ্চচাপ অঞ্চল হতে নিম্নচাপ অঞ্চলের দিকে প্রবাহিত হয়, তাকে বলা হয়–",GENERAL-SCIENCE,D,আয়ন বায়ু,প্রত্যয়ন বায়ু,মৌসুমী বায়ু,নিয়ত বায়ু
"জলজ উদ্ভিদ সহজে ভাসতে পারে, কারণ–",GENERAL-SCIENCE,B,এরা অনেক ছোট হয়,এদের কাণ্ডে অনেক বায়ু কুঠুরী থাকে,এরা পানিতে জন্মে,এদের পাতা অনেক কম থাকে
‘বৈরাগ্য সাধনে– সে আমার নয়।’ শূন্যস্থান পূরণ করুন।,BANGLA-LITERATURE,B,আনন্দ,মুক্তি,বিশ্বাস,আশ্বাস
সমাস ভাষাকে-,BANGLA-LANGUAGE,A,সংক্ষেপ করে,বিস্তৃত করে,ভাষারূপ ক্ষুণ্ন করে,অর্থবোধক করে
‘সূর্য’-এর প্রতিশব্দ-,BANGLA-LANGUAGE,D,সুধাংশু,শশাঙ্ক,বিধু,আদিত্য
‘অর্ধচন্দ্র’-এর অর্থ-,BANGLA-LANGUAGE,A,গলাধাক্কা দেয়া,অমাবস্যা,দ্বিতীয়ত,কাস্তে
কোনটি শুদ্ধ?,BANGLA-LANGUAGE,D,সৌজন্নতা,সৌজন্যতা,সৌজনতা,সৌজন্য
বেগম রোকেয়ার রচনা কোনটি?,BANGLA-LITERATURE,D,ভাষা ও সাহিত্য,আয়না,লালসালু,অবরোধবাসিনী
বাংলা গীতি কবিতায় ভোরের পাখি কে?,BANGLA-LITERATURE,A,বিহারীলাল চক্রবর্তী,প্যারীচাঁদ মিত্র,ঈশ্বরচন্দ্র বিদ্যাসাগর,শরৎচন্দ্র চট্রোপাধ্যায়
কোনটি শুদ্ধ বাক্য?,BANGLA-LANGUAGE,A,একটা গোপনীয় কথা বলি,একটি গোপন কথা বলি,একটি গোপন কথা বলি,একটি গুপ্ত কথা বলি
‘শিষ্টাচার’-এর সমার্থক শব্দ কোনটি?,BANGLA-LANGUAGE,B,নিষ্ঠা,সদাচার,সততা,সংযম
‘সংশয়’-এর বিপরীতার্থক শব্দ কোনটি?,BANGLA-LANGUAGE,C,নির্ভয়,বিস্ময়,প্রত্যয়,দ্বিধা
‘ক্ষমার যোগ্য’-এর বাক্য সংকোচন-,BANGLA-LANGUAGE,A,ক্ষমার্হ,ক্ষমাপ্রার্থী,ক্ষমা,ক্ষমাপ্রদ
_____ সেপ্টেম্বর বিশ্ব নিরক্ষরতা দিবস।’ শূন্যস্থান পূরণ করুন।,BANGLADESH-AFFAIRS,A,৮,৬,১০,৫
‘মোস্তফা চরিত’ গ্রন্থের রচয়িতা-,BANGLA-LITERATURE,D,মুহম্মদ আব্দুল হাই,মোঃ বরকতুল্লাহ,ড. মুহম্মদ শহীদুল্লাহ,মওলানা আকরম খাঁ
‘আমার দেখা রাজনীতির পঞ্চাশ বছর’ গ্রন্থটির রচয়িতা-,BANGLA-LITERATURE,C,মুহম্মদ আব্দুল হাই,ড. মুহম্মদ শহীদুল্লাহ,আবুল মনসুর আহমেদ,আতাউর রহমান
পুঁথি সাহিত্যের প্রাচীনতম লেখক-,BANGLA-LITERATURE,C,ভারতচন্দ্র রায়,দৌলত কাজী,সৈয়দ হামজা,আব্দুল হাকিম
‘চাচা কাহিনীর’ লেখক –,BANGLA-LITERATURE,B,সৈয়দ শামসুল হক,সৈয়দ মুজতবা আলী,শওকত ওসমান,ফররুখ আহমেদ
বিভক্তিযুক্ত শব্দ ও ধাতুকে বলে–,BANGLA-LANGUAGE,C,শব্দ,কারক,পদ,ক্রিয়াপদ
‘রাজলক্ষ্মী’ চরিত্রের স্রষ্টা ঔপন্যাসিক-,BANGLA-LITERATURE,B,বঙ্কিমচন্দ্র,শরৎচন্দ্র,তারাশংকর,নজরুল ইসলাম
What is the synonym of ‘Incite’?,ENGLISH-LANGUAGE,A,Instigate,Permit,Urge,Deceive
What is the antonym of ‘Honorary’?,ENGLISH-LANGUAGE,C,Offical,Honorable,Salaried,Literary
What is the verb of the word ‘Ability’?,ENGLISH-LANGUAGE,D,Ableness,Able,Ably,Enable
Who is the poet of the ‘Victorian Age’?,ENGLISH-LANGUAGE,B,Helen Keller,Mathew arnold,Shakespeare,Robert Browning
Who is the author of ‘For Whom the Bell Tolls’?,ENGLISH-LANGUAGE,D,Charles Dickens,Homer,Lord Tennison,Ernest Hemingway
Fill in blank ‘ He has assured me ____ safety’,ENGLISH-LANGUAGE,D,With,At,For,of
‘May Allah help you’ What kind of sentence is this?,ENGLISH-LANGUAGE,A,Optative,Imperative,Assertive,Exclamatory
A rolling stone gathers no moss. What ‘rolling’ is?,ENGLISH-LANGUAGE,C,Gerund,Verbal noun,Participle,Adjective
‘He has been ill ____ Friday last’ Fill in the blank.,ENGLISH-LANGUAGE,A,Since,In,From,On
Which is the noun of the word ‘beautiful’?,ENGLISH-LANGUAGE,B,Beautious,Beauty,Beautifully,Beautify
‘Hold water’ means-,ENGLISH-LANGUAGE,C,Keep water,Drink water,Bear examination,Store water
‘Out and Out’ means–,ENGLISH-LANGUAGE,B,Not at all,Thoroughly,To be last,Man of outside
Choose the correct sentence–,ENGLISH-LANGUAGE,D,Rice is not always happy,The rich is not always happy,The rich is not happy always,The rich are not always happy
Choose the correct sentence–,ENGLISH-LANGUAGE,C,He had been hunged for murder,He has been hunged for murder,He was hanged for murder,He was hunged of murder
‘Syntax’ means–,ENGLISH-LANGUAGE,B,Manner of speech,Sentence building,Supplementary tax,Synchrounizing act
‘Justice delayed is justice denied’ was stated by-,ENGLISH-LITERATURE,C,Disraeli,Emerson,Gladstone,Shakespeare
বাংলাদেশের জাতীয় পতাকার মাপের অনুপাত কত?,BANGLADESH-AFFAIRS,C,৯ : ৫,৯ : ৫,১০ : ৬,৮ : ৬
বাংলাদেশের বৃহত্তম নদী কোনটি?,BANGLADESH-AFFAIRS,A,মেঘনা,পদ্মা,ব্রহ্মপুত্র,যমুনা
কোন জেলা তুলা চাষের জন্য সবচেয়ে বেশি উপযোগী?,BANGLADESH-AFFAIRS,,রাজশাহী,ফরিদপুর,রংপুর,যশোর
ইউরিয়া সারের কাঁচামাল-,BANGLADESH-AFFAIRS,D,অপরিশোধিত তেল,ক্লিংকার,অ্যামোনিয়া,মিথেন গ্যাস
বাসস একটি–,BANGLADESH-AFFAIRS,A,সংবাদ সংস্থার নাম,একটি প্রেস ক্লাবের নাম,একটি খবরের কাগজের নাম,একটি বিদেশী কোম্পানির নাম
বাংলাদেশে শহীদ বুদ্ধিজীবী দিবস পালিত হয়-,BANGLADESH-AFFAIRS,D,২৬ মার্চ,১৬ ডিসেম্বর,২১ ফেব্রুয়ারি,১৪ ডিসেম্বরর
